applicant_id,gender,married,dependents,education
A00001,Male,No,1,Graduate
A00002,Female,No,2,Graduate
A00003,Female,Yes,1,Graduate
A00004,Female,Yes,2,Graduate
A00005,Male,Yes,1,Not Graduate
A00006,Female,No,1,Not Graduate
A00007,Male,No,3+,Graduate
A00008,Female,Yes,1,Not Graduate
A00009,Female,No,0,Graduate
A00010,Male,Yes,3+,Graduate
A00011,Male,Yes,2,Not Graduate
A00012,Female,No,3+,Not Graduate
A00013,Female,No,1,Graduate
A00014,Male,No,2,Graduate
A00015,Male,Yes,3+,Not Graduate
A00016,Female,Yes,3+,Graduate
A00017,Female,Yes,3+,Not Graduate
A00018,Male,Yes,2,Not Graduate
A00019,Male,No,0,Graduate
A00020,Female,Yes,3+,Graduate
A00021,Female,No,1,Not Graduate
A00022,Male,No,1,Graduate
A00023,Male,Yes,3+,Not Graduate
A00024,Male,Yes,0,Graduate
A00025,Female,No,3+,Graduate
A00026,Male,Yes,2,Not Graduate
A00027,Female,Yes,0,Graduate
A00028,Female,Yes,1,Not Graduate
A00029,Male,No,2,Graduate
A00030,Male,Yes,3+,Not Graduate
A00031,Male,Yes,1,Graduate
A00032,Female,No,1,Not Graduate
A00033,Male,Yes,0,Not Graduate
A00034,Male,No,3+,Not Graduate
A00035,Female,Yes,3+,Not Graduate
A00036,Male,No,3+,Graduate
A00037,Male,Yes,1,Graduate
A00038,Male,No,0,Graduate
A00039,Female,No,0,Not Graduate
A00040,Male,No,2,Not Graduate
A00041,Male,No,0,Not Graduate
A00042,Male,Yes,2,Not Graduate
A00043,Female,No,2,Graduate
A00044,Male,Yes,3+,Graduate
A00045,Female,Yes,1,Not Graduate
A00046,Female,No,0,Not Graduate
A00047,Female,Yes,1,Not Graduate
A00048,Male,Yes,1,Graduate
A00049,Female,No,2,Not Graduate
A00050,Male,Yes,1,Graduate
A00051,Female,No,2,Not Graduate
A00052,Female,Yes,1,Not Graduate
A00053,Male,No,2,Graduate
A00054,Female,No,3+,Not Graduate
A00055,Female,No,2,Graduate
A00056,Female,No,0,Graduate
A00057,Female,Yes,2,Not Graduate
A00058,Male,Yes,1,Graduate
A00059,Female,Yes,0,Not Graduate
A00060,Male,Yes,2,Graduate
A00061,Female,Yes,3+,Not Graduate
A00062,Male,No,0,Not Graduate
A00063,Male,No,0,Not Graduate
A00064,Female,No,0,Not Graduate
A00065,Male,Yes,0,Not Graduate
A00066,Female,No,0,Graduate
A00067,Female,No,2,Graduate
A00068,Male,No,2,Not Graduate
A00069,Female,No,2,Not Graduate
A00070,Male,Yes,3+,Not Graduate
A00071,Male,No,0,Not Graduate
A00072,Female,Yes,2,Not Graduate
A00073,Female,Yes,1,Not Graduate
A00074,Female,Yes,1,Not Graduate
A00075,Male,No,0,Not Graduate
A00076,Female,Yes,3+,Graduate
A00077,Male,No,2,Graduate
A00078,Female,Yes,0,Graduate
A00079,Male,No,1,Not Graduate
A00080,Female,Yes,2,Graduate
A00081,Male,No,0,Graduate
A00082,Female,No,2,Graduate
A00083,Male,Yes,3+,Graduate
A00084,Male,Yes,2,Not Graduate
A00085,Male,No,2,Graduate
A00086,Female,Yes,3+,Not Graduate
A00087,Male,Yes,3+,Graduate
A00088,Male,Yes,0,Graduate
A00089,Male,Yes,0,Not Graduate
A00090,Female,No,1,Not Graduate
A00091,Male,No,3+,Not Graduate
A00092,Female,Yes,0,Not Graduate
A00093,Female,Yes,1,Graduate
A00094,Male,No,0,Graduate
A00095,Female,No,3+,Graduate
A00096,Female,Yes,1,Not Graduate
A00097,Female,No,3+,Not Graduate
A00098,Male,No,1,Not Graduate
A00099,Female,Yes,1,Not Graduate
A00100,Female,Yes,3+,Not Graduate
A00101,Male,No,3+,Graduate
A00102,Female,No,3+,Not Graduate
A00103,Male,No,2,Not Graduate
A00104,Male,Yes,2,Not Graduate
A00105,Male,Yes,3+,Graduate
A00106,Female,Yes,1,Graduate
A00107,Female,Yes,2,Graduate
A00108,Female,Yes,0,Not Graduate
A00109,Male,Yes,0,Not Graduate
A00110,Female,No,3+,Graduate
A00111,Female,Yes,3+,Not Graduate
A00112,Female,Yes,0,Graduate
A00113,Female,No,1,Not Graduate
A00114,Female,Yes,3+,Graduate
A00115,Female,Yes,3+,Not Graduate
A00116,Female,No,1,Not Graduate
A00117,Female,No,2,Not Graduate
A00118,Male,Yes,0,Not Graduate
A00119,Male,Yes,3+,Graduate
A00120,Female,Yes,2,Graduate
A00121,Male,No,1,Not Graduate
A00122,Male,Yes,1,Graduate
A00123,Male,Yes,0,Not Graduate
A00124,Male,No,3+,Graduate
A00125,Female,No,2,Graduate
A00126,Male,No,2,Graduate
A00127,Male,No,1,Not Graduate
A00128,Female,No,2,Not Graduate
A00129,Female,Yes,1,Not Graduate
A00130,Female,No,1,Graduate
A00131,Male,No,3+,Not Graduate
A00132,Male,No,3+,Not Graduate
A00133,Female,Yes,3+,Graduate
A00134,Male,Yes,3+,Not Graduate
A00135,Male,No,0,Graduate
A00136,Female,No,3+,Not Graduate
A00137,Female,No,0,Graduate
A00138,Female,No,0,Not Graduate
A00139,Male,Yes,2,Graduate
A00140,Male,No,3+,Graduate
A00141,Male,No,1,Not Graduate
A00142,Female,Yes,0,Graduate
A00143,Female,No,0,Graduate
A00144,Female,Yes,3+,Not Graduate
A00145,Female,Yes,2,Graduate
A00146,Male,Yes,1,Graduate
A00147,Male,No,3+,Not Graduate
A00148,Male,No,2,Not Graduate
A00149,Female,Yes,2,Graduate
A00150,Female,No,2,Not Graduate
A00151,Female,No,3+,Not Graduate
A00152,Female,Yes,3+,Graduate
A00153,Male,Yes,1,Not Graduate
A00154,Male,No,0,Graduate
A00155,Female,Yes,2,Not Graduate
A00156,Female,No,0,Graduate
A00157,Female,Yes,3+,Not Graduate
A00158,Female,No,1,Not Graduate
A00159,Male,No,0,Not Graduate
A00160,Male,Yes,0,Not Graduate
A00161,Female,Yes,1,Graduate
A00162,Male,No,2,Graduate
A00163,Male,Yes,3+,Graduate
A00164,Male,Yes,0,Not Graduate
A00165,Male,Yes,0,Graduate
A00166,Female,No,0,Not Graduate
A00167,Female,No,3+,Graduate
A00168,Male,Yes,1,Not Graduate
A00169,Female,No,2,Graduate
A00170,Male,Yes,3+,Not Graduate
A00171,Male,Yes,1,Graduate
A00172,Female,Yes,0,Not Graduate
A00173,Male,Yes,0,Not Graduate
A00174,Female,No,2,Graduate
A00175,Female,Yes,3+,Graduate
A00176,Male,Yes,1,Not Graduate
A00177,Female,No,3+,Graduate
A00178,Female,Yes,2,Graduate
A00179,Female,Yes,0,Not Graduate
A00180,Female,No,2,Not Graduate
A00181,Female,Yes,3+,Not Graduate
A00182,Male,Yes,3+,Graduate
A00183,Male,No,3+,Not Graduate
A00184,Male,Yes,3+,Graduate
A00185,Male,Yes,1,Not Graduate
A00186,Female,Yes,0,Graduate
A00187,Male,No,2,Not Graduate
A00188,Male,No,2,Graduate
A00189,Male,No,1,Not Graduate
A00190,Female,No,2,Not Graduate
A00191,Female,Yes,1,Graduate
A00192,Female,No,0,Not Graduate
A00193,Female,Yes,2,Graduate
A00194,Male,No,1,Graduate
A00195,Female,No,0,Graduate
A00196,Female,No,2,Not Graduate
A00197,Male,Yes,3+,Not Graduate
A00198,Male,Yes,2,Graduate
A00199,Male,Yes,0,Not Graduate
A00200,Male,No,0,Graduate
A00201,Female,No,0,Graduate
A00202,Male,No,2,Graduate
A00203,Female,Yes,3+,Not Graduate
A00204,Female,No,2,Not Graduate
A00205,Female,No,3+,Graduate
A00206,Female,No,2,Graduate
A00207,Male,Yes,2,Not Graduate
A00208,Female,No,3+,Graduate
A00209,Male,Yes,0,Graduate
A00210,Female,No,0,Graduate
A00211,Male,No,3+,Graduate
A00212,Male,Yes,3+,Not Graduate
A00213,Female,No,1,Graduate
A00214,Female,No,2,Graduate
A00215,Male,No,3+,Not Graduate
A00216,Female,No,2,Not Graduate
A00217,Female,No,3+,Graduate
A00218,Male,Yes,2,Graduate
A00219,Female,No,0,Graduate
A00220,Female,Yes,0,Not Graduate
A00221,Male,Yes,2,Graduate
A00222,Male,No,1,Graduate
A00223,Male,Yes,1,Not Graduate
A00224,Male,Yes,3+,Graduate
A00225,Female,Yes,2,Graduate
A00226,Male,Yes,1,Not Graduate
A00227,Male,Yes,1,Graduate
A00228,Male,No,3+,Graduate
A00229,Female,No,1,Graduate
A00230,Male,No,1,Not Graduate
A00231,Male,No,1,Not Graduate
A00232,Male,No,1,Graduate
A00233,Female,Yes,0,Graduate
A00234,Male,Yes,3+,Not Graduate
A00235,Male,Yes,3+,Not Graduate
A00236,Male,No,1,Graduate
A00237,Male,No,1,Graduate
A00238,Male,Yes,1,Graduate
A00239,Male,No,3+,Graduate
A00240,Male,No,2,Graduate
A00241,Female,No,2,Not Graduate
A00242,Female,Yes,3+,Not Graduate
A00243,Male,Yes,3+,Graduate
A00244,Male,No,3+,Graduate
A00245,Male,No,1,Not Graduate
A00246,Female,No,3+,Graduate
A00247,Male,No,1,Graduate
A00248,Male,No,2,Graduate
A00249,Male,No,2,Not Graduate
A00250,Female,No,1,Graduate
A00251,Male,No,3+,Not Graduate
A00252,Female,No,2,Graduate
A00253,Female,No,2,Graduate
A00254,Male,Yes,0,Not Graduate
A00255,Female,No,2,Graduate
A00256,Female,Yes,2,Graduate
A00257,Male,No,1,Not Graduate
A00258,Male,No,3+,Graduate
A00259,Female,No,1,Not Graduate
A00260,Female,No,0,Not Graduate
A00261,Female,No,1,Not Graduate
A00262,Male,No,0,Graduate
A00263,Female,Yes,0,Not Graduate
A00264,Male,No,3+,Graduate
A00265,Female,No,2,Graduate
A00266,Male,Yes,0,Not Graduate
A00267,Female,No,1,Graduate
A00268,Female,Yes,1,Graduate
A00269,Female,No,1,Not Graduate
A00270,Male,Yes,0,Graduate
A00271,Female,Yes,2,Graduate
A00272,Female,No,0,Not Graduate
A00273,Male,No,3+,Graduate
A00274,Male,Yes,1,Not Graduate
A00275,Female,No,3+,Graduate
A00276,Female,Yes,2,Not Graduate
A00277,Male,No,1,Not Graduate
A00278,Female,Yes,3+,Not Graduate
A00279,Female,No,1,Not Graduate
A00280,Male,Yes,3+,Graduate
A00281,Female,Yes,3+,Graduate
A00282,Female,Yes,3+,Not Graduate
A00283,Male,No,1,Not Graduate
A00284,Female,No,2,Not Graduate
A00285,Male,Yes,3+,Graduate
A00286,Female,Yes,1,Not Graduate
A00287,Female,Yes,2,Not Graduate
A00288,Female,No,3+,Graduate
A00289,Male,No,2,Not Graduate
A00290,Male,Yes,2,Graduate
A00291,Male,No,0,Graduate
A00292,Female,No,1,Not Graduate
A00293,Male,No,2,Not Graduate
A00294,Female,Yes,2,Not Graduate
A00295,Female,Yes,2,Graduate
A00296,Female,No,3+,Not Graduate
A00297,Male,No,1,Not Graduate
A00298,Female,Yes,3+,Graduate
A00299,Male,No,3+,Not Graduate
A00300,Male,Yes,1,Not Graduate
A00301,Female,Yes,0,Not Graduate
A00302,Female,No,1,Graduate
A00303,Male,Yes,2,Graduate
A00304,Female,No,1,Not Graduate
A00305,Female,No,3+,Not Graduate
A00306,Female,No,3+,Not Graduate
A00307,Female,Yes,0,Graduate
A00308,Male,Yes,3+,Not Graduate
A00309,Male,Yes,0,Not Graduate
A00310,Female,Yes,3+,Not Graduate
A00311,Female,No,0,Graduate
A00312,Female,No,3+,Graduate
A00313,Male,No,3+,Graduate
A00314,Female,Yes,3+,Not Graduate
A00315,Female,No,2,Not Graduate
A00316,Male,Yes,0,Graduate
A00317,Male,No,1,Graduate
A00318,Female,No,0,Graduate
A00319,Female,Yes,0,Not Graduate
A00320,Female,No,0,Not Graduate
A00321,Female,Yes,3+,Not Graduate
A00322,Male,No,2,Graduate
A00323,Male,Yes,3+,Graduate
A00324,Male,Yes,3+,Graduate
A00325,Male,Yes,0,Not Graduate
A00326,Female,Yes,0,Not Graduate
A00327,Female,No,1,Graduate
A00328,Male,Yes,0,Not Graduate
A00329,Female,No,1,Not Graduate
A00330,Female,No,0,Not Graduate
A00331,Female,No,0,Not Graduate
A00332,Male,Yes,2,Not Graduate
A00333,Male,No,2,Graduate
A00334,Female,No,3+,Graduate
A00335,Female,No,0,Not Graduate
A00336,Male,No,0,Graduate
A00337,Female,No,1,Graduate
A00338,Male,Yes,1,Not Graduate
A00339,Male,Yes,2,Graduate
A00340,Male,Yes,0,Graduate
A00341,Male,Yes,1,Not Graduate
A00342,Male,Yes,1,Not Graduate
A00343,Female,Yes,0,Not Graduate
A00344,Female,Yes,0,Graduate
A00345,Female,Yes,2,Not Graduate
A00346,Female,Yes,2,Not Graduate
A00347,Female,Yes,0,Graduate
A00348,Female,Yes,1,Not Graduate
A00349,Male,Yes,0,Graduate
A00350,Female,No,1,Graduate
A00351,Female,No,0,Not Graduate
A00352,Female,No,3+,Not Graduate
A00353,Female,Yes,0,Graduate
A00354,Female,No,0,Not Graduate
A00355,Female,Yes,1,Graduate
A00356,Female,No,1,Graduate
A00357,Female,Yes,0,Graduate
A00358,Female,No,3+,Not Graduate
A00359,Male,No,2,Graduate
A00360,Male,No,3+,Graduate
A00361,Female,No,2,Not Graduate
A00362,Male,Yes,1,Graduate
A00363,Female,No,3+,Graduate
A00364,Female,No,1,Graduate
A00365,Female,No,3+,Not Graduate
A00366,Male,Yes,2,Graduate
A00367,Male,Yes,0,Graduate
A00368,Male,No,1,Graduate
A00369,Male,Yes,0,Graduate
A00370,Female,No,0,Not Graduate
A00371,Female,Yes,3+,Graduate
A00372,Female,No,1,Not Graduate
A00373,Male,No,1,Not Graduate
A00374,Male,No,2,Graduate
A00375,Male,Yes,0,Not Graduate
A00376,Female,No,0,Graduate
A00377,Male,Yes,0,Graduate
A00378,Male,Yes,0,Not Graduate
A00379,Male,Yes,0,Graduate
A00380,Male,Yes,0,Not Graduate
A00381,Male,No,0,Graduate
A00382,Female,No,1,Not Graduate
A00383,Female,No,0,Not Graduate
A00384,Female,Yes,1,Graduate
A00385,Male,No,2,Graduate
A00386,Male,Yes,3+,Not Graduate
A00387,Male,Yes,0,Graduate
A00388,Female,No,1,Not Graduate
A00389,Female,No,3+,Not Graduate
A00390,Female,No,3+,Graduate
A00391,Female,No,3+,Graduate
A00392,Male,Yes,2,Not Graduate
A00393,Male,No,3+,Graduate
A00394,Male,Yes,0,Graduate
A00395,Male,No,0,Not Graduate
A00396,Female,No,1,Graduate
A00397,Female,No,1,Graduate
A00398,Female,Yes,2,Not Graduate
A00399,Female,No,1,Not Graduate
A00400,Male,Yes,1,Graduate
A00401,Male,No,2,Graduate
A00402,Male,Yes,0,Graduate
A00403,Female,Yes,1,Not Graduate
A00404,Male,No,3+,Not Graduate
A00405,Female,No,0,Not Graduate
A00406,Female,No,3+,Not Graduate
A00407,Male,Yes,0,Graduate
A00408,Male,Yes,3+,Not Graduate
A00409,Female,Yes,1,Not Graduate
A00410,Female,Yes,0,Graduate
A00411,Female,No,0,Graduate
A00412,Male,No,3+,Not Graduate
A00413,Male,Yes,0,Not Graduate
A00414,Male,Yes,3+,Graduate
A00415,Female,Yes,3+,Not Graduate
A00416,Male,No,2,Graduate
A00417,Male,Yes,0,Not Graduate
A00418,Male,No,2,Not Graduate
A00419,Female,No,0,Graduate
A00420,Male,No,3+,Graduate
A00421,Male,Yes,1,Not Graduate
A00422,Female,Yes,3+,Graduate
A00423,Female,Yes,1,Not Graduate
A00424,Male,No,0,Graduate
A00425,Female,Yes,0,Not Graduate
A00426,Male,Yes,0,Graduate
A00427,Male,Yes,2,Not Graduate
A00428,Female,Yes,0,Not Graduate
A00429,Female,Yes,2,Not Graduate
A00430,Male,No,3+,Not Graduate
A00431,Male,No,1,Not Graduate
A00432,Male,Yes,1,Not Graduate
A00433,Male,No,0,Graduate
A00434,Female,No,3+,Graduate
A00435,Female,Yes,2,Not Graduate
A00436,Female,Yes,0,Not Graduate
A00437,Male,Yes,3+,Graduate
A00438,Female,Yes,3+,Graduate
A00439,Female,No,3+,Not Graduate
A00440,Female,No,0,Graduate
A00441,Female,No,1,Graduate
A00442,Male,Yes,2,Not Graduate
A00443,Female,No,3+,Graduate
A00444,Male,Yes,3+,Not Graduate
A00445,Female,No,0,Not Graduate
A00446,Female,Yes,0,Graduate
A00447,Male,No,0,Graduate
A00448,Female,No,2,Graduate
A00449,Female,Yes,2,Graduate
A00450,Male,Yes,0,Not Graduate
A00451,Female,No,2,Not Graduate
A00452,Male,Yes,2,Graduate
A00453,Female,No,3+,Not Graduate
A00454,Female,Yes,0,Not Graduate
A00455,Male,Yes,0,Graduate
A00456,Female,No,0,Graduate
A00457,Female,Yes,2,Not Graduate
A00458,Female,Yes,0,Graduate
A00459,Male,Yes,2,Graduate
A00460,Male,Yes,2,Not Graduate
A00461,Female,No,2,Graduate
A00462,Female,No,0,Graduate
A00463,Female,No,1,Graduate
A00464,Male,Yes,0,Not Graduate
A00465,Female,Yes,1,Graduate
A00466,Female,No,1,Not Graduate
A00467,Female,Yes,3+,Not Graduate
A00468,Female,Yes,0,Not Graduate
A00469,Female,No,0,Graduate
A00470,Female,No,1,Graduate
A00471,Male,Yes,1,Graduate
A00472,Female,Yes,3+,Graduate
A00473,Male,No,2,Graduate
A00474,Male,Yes,2,Graduate
A00475,Male,No,0,Not Graduate
A00476,Male,Yes,2,Not Graduate
A00477,Male,Yes,3+,Not Graduate
A00478,Female,No,1,Not Graduate
A00479,Female,No,0,Graduate
A00480,Male,No,2,Graduate
A00481,Male,No,2,Graduate
A00482,Male,Yes,0,Not Graduate
A00483,Male,No,1,Graduate
A00484,Male,No,3+,Graduate
A00485,Male,Yes,0,Not Graduate
A00486,Male,No,3+,Not Graduate
A00487,Male,No,3+,Graduate
A00488,Male,No,1,Not Graduate
